,Word,Length,Freq_HAL,Log_Freq_HAL,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy
0,a,1,10610626,16.18,798.92,2.8813559322033906,333.85,24.0,0.73
1,aah,3,222,5.4,816.43,3.5028248587570627,186.03,21.0,0.62
2,Aaron,5,10806,9.29,736.06,2.5988700564971756,289.01,32.0,0.97
3,aback,5,387,5.96,796.27,3.2203389830508478,171.61,15.0,0.45
4,abacus,6,513,6.24,964.4,4.7457627118644075,489.0,15.0,0.47
5,abandon,7,3761,8.23,695.72,2.033898305084746,220.41,32.0,0.97
6,abandoned,9,5160,8.55,860.77,2.6553672316384187,447.56,31.0,0.91
7,abandoning,10,1005,6.91,740.55,2.5988700564971756,288.44,33.0,1.0
8,abandonment,11,786,6.67,771.09,2.9096045197740117,229.53,34.0,1.0
9,abase,5,30,3.4,803.27,2.994350282485876,309.52,22.0,0.69
10,abasement,9,7,1.95,1037.06,5.508474576271187,311.84,17.0,0.53
11,abash,5,1,0.0,748.71,3.5593220338983054,194.37,21.0,0.68
12,abate,5,279,5.63,719.54,2.6553672316384187,180.88,24.0,0.71
13,abated,6,144,4.97,894.23,4.1807909604519775,289.82,22.0,0.69
14,abbess,6,33,3.5,885.14,3.7005649717514126,324.2,7.0,0.22
15,abbey,5,2286,7.73,726.19,2.6271186440677967,235.91,21.0,0.66
16,abbot,5,616,6.42,808.58,3.5028248587570627,268.65,24.0,0.71
17,abbreviate,10,203,5.31,795.03,3.3615819209039555,316.55,31.0,0.94
18,abbreviated,11,1214,7.1,698.45,2.203389830508475,170.37,31.0,0.94
19,abbreviation,12,1908,7.55,728.91,2.8531073446327686,163.59,33.0,1.0
20,abbreviations,13,2480,7.82,729.13,2.5706214689265536,218.3,31.0,0.91
21,abdicate,8,118,4.77,1056.0,5.282485875706215,475.66,18.0,0.56
22,abdomen,7,1279,7.15,813.43,2.994350282485876,315.23,30.0,0.88
23,abdominal,9,850,6.75,715.55,2.5423728813559325,191.24,31.0,0.94
24,abduct,6,180,5.19,769.67,2.994350282485876,251.22,30.0,0.88
25,abduction,9,1995,7.6,795.88,2.937853107344633,245.03,32.0,0.94
26,Abe,3,1235,7.12,820.67,3.1355932203389836,254.99,33.0,1.0
27,abed,4,143,4.96,887.5,4.322033898305086,319.02,10.0,0.29
28,Abel,4,1009,6.92,782.75,2.2316384180790965,328.75,20.0,0.65
29,Abel's,6,52,3.95,840.14,3.474576271186441,333.08,28.0,0.82
30,aberrant,8,166,5.11,955.38,4.463276836158193,487.31,13.0,0.38
31,aberration,10,556,6.32,946.55,4.350282485875707,332.94,20.0,0.63
32,aberrations,11,299,5.7,1005.37,5.56497175141243,412.32,19.0,0.58
33,abet,4,81,4.39,792.0,3.954802259887006,221.47,11.0,0.32
34,abetted,7,132,4.88,998.5,4.915254237288136,372.52,18.0,0.53
35,abeyance,8,36,3.58,914.0,3.531073446327684,179.38,4.0,0.13
36,abhor,5,383,5.95,786.15,3.2485875706214697,184.4,20.0,0.57
37,abhorred,8,87,4.47,798.44,4.067796610169491,154.4,18.0,0.56
38,abhorrent,9,366,5.9,794.15,3.6158192090395485,203.55,13.0,0.41
39,abide,5,1967,7.58,773.21,2.4011299435028253,276.41,33.0,0.94
40,abides,6,443,6.09,750.63,2.7683615819209044,221.05,27.0,0.82
41,abiding,7,1363,7.22,784.67,3.050847457627119,243.05,27.0,0.82
42,Abigail,7,693,6.54,881.12,3.4463276836158196,361.4,26.0,0.81
43,abilities,9,9029,9.11,657.06,1.5254237288135597,257.54,32.0,0.97
44,ability,7,56922,10.95,619.68,1.5536723163841812,186.54,31.0,0.97
